"COMPRESSIVE_STRENGTH","CONST","C","LG_C","LG_C.x.C","BLAST","BLAST.x.C","BLAST.x.LG_C","FASH","FASH.x.C","FASH.x.LG_C","FASH.x.BLAST","W","W.x.C","W.x.LG_C","W.x.BLAST","W.x.FASH","LG_W","LG_W.x.C","LG_W.x.LG_C","LG_W.x.BLAST","LG_W.x.FASH","LG_W.x.W","PLAST","PLAST.x.C","PLAST.x.LG_C","PLAST.x.BLAST","PLAST.x.FASH","PLAST.x.W","PLAST.x.LG_W","CA","CA.x.C","CA.x.LG_C","CA.x.BLAST","CA.x.FASH","CA.x.W","CA.x.LG_W","CA.x.PLAST","LG_CA","LG_CA.x.C","LG_CA.x.LG_C","LG_CA.x.BLAST","LG_CA.x.FASH","LG_CA.x.W","LG_CA.x.LG_W","LG_CA.x.PLAST","LG_CA.x.CA","FA","FA.x.C","FA.x.LG_C","FA.x.BLAST","FA.x.FASH","FA.x.W","FA.x.LG_W","FA.x.PLAST","FA.x.CA","FA.x.LG_CA","LG_FA","LG_FA.x.C","LG_FA.x.LG_C","LG_FA.x.BLAST","LG_FA.x.FASH","LG_FA.x.W","LG_FA.x.LG_W","LG_FA.x.PLAST","LG_FA.x.CA","LG_FA.x.LG_CA","LG_FA.x.FA","AGE","AGE.x.C","AGE.x.LG_C","AGE.x.BLAST","AGE.x.FASH","AGE.x.W","AGE.x.LG_W","AGE.x.PLAST","AGE.x.CA","AGE.x.LG_CA","AGE.x.FA","AGE.x.LG_FA","LG_AGE","LG_AGE.x.C","LG_AGE.x.LG_C","LG_AGE.x.BLAST","LG_AGE.x.FASH","LG_AGE.x.W","LG_AGE.x.LG_W","LG_AGE.x.PLAST","LG_AGE.x.CA","LG_AGE.x.LG_CA","LG_AGE.x.FA","LG_AGE.x.LG_FA","LG_AGE.x.AGE"
79.99,1,540,6.29156913955832,3397.44733536149,0,0,0,0,0,0,0,162,87480,1019.23420060845,0,0,5.08759633523238,2747.30202102549,32.0089640972781,0,0,824.190606307646,2.5,1350,15.7289228488958,0,0,405,12.7189908380810,1040,561600,6543.23190514065,0,0,168480,5291.10018864168,2600,6.94697599213542,3751.36703575313,43.7073797653718,0,0,1125.41011072594,35.3434095985355,17.3674399803385,7224.85503182084,676,365040,4253.10073834142,0,0,109512,3439.21512261709,1690,703040,4696.15577068354,6.51619307604296,3518.7442610632,40.9970792646355,0,0,1055.62327831896,33.1517600133428,16.2904826901074,6776.84079908468,45.2678368593895,4404.94651940504,28,15120,176.163935907633,0,0,4536,142.452697386507,70,29120,194.515327779792,18928,182.453406129203,3.3322045101752,1799.39043549461,20.9647950629153,0,0,539.817130648382,16.9529114542122,8.330511275438,3465.49269058221,23.1487447330725,2252.57024887843,21.7132879571628,93.3017262849056
61.89,1,540,6.29156913955832,3397.44733536149,0,0,0,0,0,0,0,162,87480,1019.23420060845,0,0,5.08759633523238,2747.30202102549,32.0089640972781,0,0,824.190606307646,2.5,1350,15.7289228488958,0,0,405,12.7189908380810,1055,569700,6637.60544223403,0,0,170910,5367.41413367016,2637.5,6.96129604591017,3759.09986479149,43.7974753737778,0,0,1127.72995943745,35.4162642516402,17.4032401147754,7344.16732843523,676,365040,4253.10073834142,0,0,109512,3439.21512261709,1690,713180,4705.83612703528,6.51619307604296,3518.7442610632,40.9970792646355,0,0,1055.62327831896,33.1517600133428,16.2904826901074,6874.58369522532,45.3611490946451,4404.94651940504,28,15120,176.163935907633,0,0,4536,142.452697386507,70,29540,194.916289285485,18928,182.453406129203,3.3322045101752,1799.39043549461,20.9647950629153,0,0,539.817130648382,16.9529114542122,8.330511275438,3515.47575823484,23.1964620808467,2252.57024887843,21.7132879571628,93.3017262849056
40.27,1,332.5,5.80663986009591,1930.70775348189,142.5,47381.25,827.446180063667,0,0,0,0,228,75810,1323.91388810187,32490,0,5.42934562895444,1805.25742162735,31.5262547433243,773.681752126008,0,1237.89080340161,0,0,0,0,0,0,0,932,309890,5411.78834960939,132810,0,212496,5060.15012618554,0,6.8373328146856,2273.41316088296,39.7019292584952,974.319926092698,0,1558.91188174832,37.12224303112,0,6372.39418328698,594,197505,3449.14407689697,84645,0,135432,3225.03130359894,0,553608,4061.37569192325,6.38687931936265,2123.63737368808,37.0863080374334,910.130303009178,0,1456.20848481468,34.6765753152411,0,5952.57152564599,43.6692195537151,3793.80631570141,270,89775,1567.79276222590,38475,0,61560,1465.92331981770,0,251640,1846.07985996511,160380,1724.45741622792,5.59842195899838,1861.47530136696,32.5080201007562,797.77512915727,0,1276.44020665163,30.3957677921304,0,5217.72926578649,38.2782741707161,3325.46264364504,35.7564454309925,1511.57392892956
41.05,1,332.5,5.80663986009591,1930.70775348189,142.5,47381.25,827.446180063667,0,0,0,0,228,75810,1323.91388810187,32490,0,5.42934562895444,1805.25742162735,31.5262547433243,773.681752126008,0,1237.89080340161,0,0,0,0,0,0,0,932,309890,5411.78834960939,132810,0,212496,5060.15012618554,0,6.8373328146856,2273.41316088296,39.7019292584952,974.319926092698,0,1558.91188174832,37.12224303112,0,6372.39418328698,594,197505,3449.14407689697,84645,0,135432,3225.03130359894,0,553608,4061.37569192325,6.38687931936265,2123.63737368808,37.0863080374334,910.130303009178,0,1456.20848481468,34.6765753152411,0,5952.57152564599,43.6692195537151,3793.80631570141,365,121362.5,2119.42354893501,52012.5,0,83220,1981.71115456837,0,340180,2495.62647736024,216810,2331.21095156737,5.89989735358249,1961.71587006618,34.2585791437865,840.735372885505,0,1345.17659661681,32.0325819079530,0,5498.70433353888,40.3395617789263,3504.539028028,37.6819323939584,2153.46253405761
44.3,1,198.6,5.29129275161107,1050.85074046996,132.4,26294.64,700.567160313306,0,0,0,0,192,38131.2,1015.92820830933,25420.8,0,5.25749537202778,1044.13858088472,27.8189471536393,696.092387256478,0,1009.43911142933,0,0,0,0,0,0,0,978.4,194310.24,5177.00082817627,129540.16,0,187852.8,5143.93347199198,0,6.88591858437296,1367.54343085647,36.4354110936766,911.69562057098,0,1322.09636819961,36.2026850895009,0,6737.1827429505,825.5,163944.3,4367.96216645494,109296.2,0,158496,4340.06242960893,0,807669.2,5684.32579139988,6.71598926336018,1333.79546770333,35.5362653091155,889.196978468888,0,1289.46993856515,35.3092824707044,0,6570.9238952716,46.2457552810211,5544.04913690383,360,71496,1904.86539057999,47664,0,69120,1892.69833393,0,352224,2478.93069037427,297180,2417.75613480967,5.88610403145016,1168.98026064600,31.1450995968409,779.320173764001,0,1130.13197403843,30.9461647046233,0,5758.96418437084,40.5312331397153,4858.97887796211,39.5310114782404,2118.99745132206
47.03,1,266,5.5834963087817,1485.21001813593,114,30324,636.518579201114,0,0,0,0,228,60648,1273.03715840223,25992,0,5.42934562895444,1444.20593730188,30.3147312783672,618.945401700806,0,1237.89080340161,0,0,0,0,0,0,0,932,247912,5203.81855978454,106248,0,212496,5060.15012618554,0,6.8373328146856,1818.73052870637,38.1762225327090,779.455940874158,0,1558.91188174832,37.12224303112,0,6372.39418328698,670,178220,3740.94252688374,76380,0,152760,3637.66157139947,0,624440,4581.01298583935,6.50727771238501,1730.93587149441,36.3333610873191,741.829659211891,0,1483.65931842378,35.3302598041302,0,6064.78282794283,44.4924234371623,4359.87606729796,90,23940,502.514667790353,10260,0,20520,488.6411066059,0,83880,615.359953321704,60300,585.654994114651,4.49980967033027,1196.94937230785,25.1246706845093,512.978302417651,0,1025.95660483530,24.4310219647346,0,4193.82261274781,30.7666963187887,3014.87247912128,29.2815111777147,404.982870329724
43.7,1,380,5.94017125272043,2257.26507603376,95,36100,564.316269008441,0,0,0,0,228,86640,1354.35904562026,21660,0,5.42934562895444,2063.15133900269,32.2512428261985,515.787834750672,0,1237.89080340161,0,0,0,0,0,0,0,932,354160,5536.23960753544,88540,0,212496,5060.15012618554,0,6.8373328146856,2598.18646958053,40.6149278310775,649.546617395132,0,1558.91188174832,37.12224303112,0,6372.39418328698,594,225720,3528.46172411594,56430,0,135432,3225.03130359894,0,553608,4061.37569192325,6.38687931936265,2427.01414135781,37.9391569274726,606.753535339452,0,1456.20848481468,34.6765753152411,0,5952.57152564599,43.6692195537151,3793.80631570141,365,138700,2168.16250724296,34675,0,83220,1981.71115456837,0,340180,2495.62647736024,216810,2331.21095156737,5.89989735358249,2241.96099436135,35.0464006537520,560.490248590336,0,1345.17659661681,32.0325819079530,0,5498.70433353888,40.3395617789263,3504.539028028,37.6819323939584,2153.46253405761
36.45,1,380,5.94017125272043,2257.26507603376,95,36100,564.316269008441,0,0,0,0,228,86640,1354.35904562026,21660,0,5.42934562895444,2063.15133900269,32.2512428261985,515.787834750672,0,1237.89080340161,0,0,0,0,0,0,0,932,354160,5536.23960753544,88540,0,212496,5060.15012618554,0,6.8373328146856,2598.18646958053,40.6149278310775,649.546617395132,0,1558.91188174832,37.12224303112,0,6372.39418328698,594,225720,3528.46172411594,56430,0,135432,3225.03130359894,0,553608,4061.37569192325,6.38687931936265,2427.01414135781,37.9391569274726,606.753535339452,0,1456.20848481468,34.6765753152411,0,5952.57152564599,43.6692195537151,3793.80631570141,28,10640,166.324795076172,2660,0,6384,152.021677610724,0,26096,191.445318811197,16632,178.832620942154,3.3322045101752,1266.23771386658,19.7938654395281,316.559428466644,0,759.742628319946,18.091689992102,0,3105.61460348329,22.7833912426642,1979.32947904407,21.2823880739249,93.3017262849056
45.85,1,266,5.5834963087817,1485.21001813593,114,30324,636.518579201114,0,0,0,0,228,60648,1273.03715840223,25992,0,5.42934562895444,1444.20593730188,30.3147312783672,618.945401700806,0,1237.89080340161,0,0,0,0,0,0,0,932,247912,5203.81855978454,106248,0,212496,5060.15012618554,0,6.8373328146856,1818.73052870637,38.1762225327090,779.455940874158,0,1558.91188174832,37.12224303112,0,6372.39418328698,670,178220,3740.94252688374,76380,0,152760,3637.66157139947,0,624440,4581.01298583935,6.50727771238501,1730.93587149441,36.3333610873191,741.829659211891,0,1483.65931842378,35.3302598041302,0,6064.78282794283,44.4924234371623,4359.87606729796,28,7448,156.337896645888,3192,0,6384,152.021677610724,0,26096,191.445318811197,18760,182.203775946780,3.3322045101752,886.366399706603,18.6053515826690,379.871314159973,0,759.742628319946,18.091689992102,0,3105.61460348329,22.7833912426642,2232.57702181738,21.6835801421719,93.3017262849056
39.29,1,475,6.16331480403464,2927.57453191645,0,0,0,0,0,0,0,228,108300,1405.23577531990,0,0,5.42934562895444,2578.93917375336,33.4627662911557,0,0,1237.89080340161,0,0,0,0,0,0,0,932,442700,5744.20939736029,0,0,212496,5060.15012618554,0,6.8373328146856,3247.73308697566,42.1406345568636,0,0,1558.91188174832,37.12224303112,0,6372.39418328698,594,282150,3661.00899359658,0,0,135432,3225.03130359894,0,553608,4061.37569192325,6.38687931936265,3033.76767669726,39.3643478606105,0,0,1456.20848481468,34.6765753152411,0,5952.57152564599,43.6692195537151,3793.80631570141,28,13300,172.57281451297,0,0,6384,152.021677610724,0,26096,191.445318811197,16632,178.832620942154,3.3322045101752,1582.79714233322,20.5374253876338,0,0,759.742628319946,18.091689992102,0,3105.61460348329,22.7833912426642,1979.32947904407,21.2823880739249,93.3017262849056
